datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI,PPO_HLC3_EMA9,PPO_EMA9_EMA21,PPO_RSI_EMARSI,ROC_HLC3,ROC_EMA9,ROC_EMA21,ROC_RSI,ROC_EMARSI
2024-09-26 15:00:00+05:30,26214.15,26249.85,26213.15,26244.35,26235.78,26161.2,1,26137.76,1,26191.22,26156.18,79.56,69.37,17.01,13.4,1468.93,8.96,4.26,3.04,595.29,231.56
2024-09-26 15:03:00+05:30,26245.15,26250.9,26227.0,26231.2,26236.37,26168.51,1,26145.03,1,26200.25,26163.47,73.57,69.93,13.79,14.06,520.52,0.22,3.45,2.79,-752.89,80.73
2024-09-26 15:06:00+05:30,26232.2,26233.9,26217.4,26218.15,26223.15,26168.51,1,26145.03,1,26204.83,26168.89,68.1,69.69,6.99,13.73,-228.15,-5.04,1.75,2.07,-743.51,-34.32
2024-09-26 15:09:00+05:30,26217.25,26221.35,26203.05,26204.25,26209.55,26168.51,1,26145.03,1,26205.77,26172.59,62.74,68.76,1.44,12.68,-875.51,-5.19,0.36,1.41,-787.08,-133.45
2024-09-26 15:12:00+05:30,26204.65,26210.6,26203.4,26207.55,26207.18,26168.51,1,26145.03,1,26206.06,26175.73,63.48,68.06,0.43,11.59,-672.94,-0.9,0.11,1.2,117.95,-101.8
2024-09-26 15:15:00+05:30,26206.45,26218.65,26200.4,26216.7,26211.92,26168.51,1,26145.03,1,26207.23,26179.02,65.51,67.72,1.79,10.78,-326.34,1.81,0.45,1.26,319.79,-49.96
2024-09-26 15:18:00+05:30,26216.4,26220.55,26210.05,26210.05,26213.55,26168.51,1,26145.03,1,26208.49,26182.16,62.77,67.06,1.93,10.06,-639.73,0.62,0.48,1.2,-418.26,-97.46
2024-09-26 15:21:00+05:30,26210.1,26214.45,26198.85,26200.65,26204.65,26168.51,1,26145.03,1,26207.72,26184.21,59.03,65.99,-1.17,8.98,-1054.71,-3.4,-0.29,0.78,-595.83,-159.56
2024-09-26 15:24:00+05:30,26200.4,26210.2,26199.4,26202.65,26204.08,26168.51,1,26145.03,1,26207.0,26186.01,59.58,65.13,-1.11,8.02,-852.14,-0.22,-0.27,0.69,93.17,-130.32
2024-09-26 15:27:00+05:30,26203.4,26206.15,26174.1,26184.65,26188.3,26168.51,1,26145.03,1,26203.26,26186.22,52.69,63.47,-5.71,6.51,-1698.44,-6.02,-1.43,0.08,-1156.43,-254.87
2024-09-27 09:15:00+05:30,26248.25,26250.55,26208.9,26222.05,26227.17,26168.51,1,26145.03,1,26208.04,26189.94,62.42,63.33,7.3,6.91,-143.69,14.84,1.82,1.42,1846.65,-22.06
2024-09-27 09:18:00+05:30,26219.3,26228.75,26216.85,26227.2,26224.27,26168.51,1,26145.03,1,26211.29,26193.06,63.53,63.36,4.95,6.96,26.83,-1.11,1.24,1.19,177.83,4.74
2024-09-27 09:21:00+05:30,26227.75,26238.8,26224.5,26237.75,26233.68,26168.51,1,26145.03,1,26215.76,26196.76,65.76,63.68,6.84,7.25,326.63,3.59,1.71,1.41,351.02,50.51
