datetime,open,high,low,close,hlc3,ST_First_Period_Value,ST_First_Period_Direction,ST_Second_Period_Value,ST_Second_Period_Direction,EMA9,EMA21,RSI,SmoothedRSI
2024-09-13 13:45:00+05:30,25364.7,25376.75,25357.0,25375.2,25369.65,25334.04,1,25302.31,1,25367.92,25327.45,65.68,68.43
2024-09-13 14:00:00+05:30,25375.95,25392.05,25362.0,25385.5,25379.85,25334.04,1,25302.33,1,25370.31,25332.21,67.22,68.27
2024-09-13 14:15:00+05:30,25385.15,25388.8,25368.8,25370.1,25375.9,25335.48,1,25306.6,1,25371.43,25336.18,62.69,67.52
2024-09-13 14:30:00+05:30,25370.25,25386.25,25355.55,25365.45,25369.08,25335.48,1,25306.6,1,25370.96,25339.17,61.34,66.7
2024-09-13 14:45:00+05:30,25365.6,25383.1,25350.8,25366.95,25366.95,25335.48,1,25306.6,1,25370.16,25341.7,61.63,66.02
2024-09-13 15:00:00+05:30,25365.35,25368.25,25331.8,25354.45,25351.5,25335.48,1,25306.6,1,25366.42,25342.59,57.79,64.93
2024-09-13 15:15:00+05:30,25354.45,25366.8,25340.9,25343.55,25350.42,25335.48,1,25306.6,1,25363.22,25343.3,54.6,63.55
2024-09-16 09:15:00+05:30,25406.65,25411.6,25366.0,25397.35,25391.65,25338.5,1,25306.6,1,25368.91,25347.7,64.9,63.73
2024-09-16 09:30:00+05:30,25396.75,25435.75,25396.75,25434.85,25422.45,25365.12,1,25331.04,1,25379.62,25354.49,70.01,64.57
2024-09-16 09:45:00+05:30,25434.9,25445.7,25410.95,25417.2,25424.62,25377.1,1,25342.95,1,25388.62,25360.87,65.2,64.65
2024-09-16 10:00:00+05:30,25417.8,25429.85,25409.2,25409.35,25416.13,25377.1,1,25342.95,1,25394.12,25365.89,63.13,64.45
2024-09-16 10:15:00+05:30,25410.0,25420.05,25399.85,25408.2,25409.37,25377.1,1,25342.95,1,25397.17,25369.84,62.81,64.23
2024-09-16 10:30:00+05:30,25407.9,25415.8,25389.75,25401.45,25402.33,25377.1,1,25342.95,1,25398.2,25372.8,60.88,63.78
2024-09-16 10:45:00+05:30,25401.15,25411.95,25388.65,25391.5,25397.37,25377.1,1,25342.95,1,25398.04,25375.03,58.06,63.02
2024-09-16 11:00:00+05:30,25391.4,25395.5,25365.8,25384.15,25381.82,25377.1,1,25342.95,1,25394.79,25375.65,55.99,62.08
2024-09-16 11:15:00+05:30,25385.0,25396.6,25376.5,25380.95,25384.68,25377.1,1,25342.95,1,25392.77,25376.47,55.08,61.15
2024-09-16 11:30:00+05:30,25382.0,25382.3,25358.15,25366.35,25368.93,25413.2,-1,25342.95,1,25388.0,25375.78,50.97,59.79
2024-09-16 11:45:00+05:30,25366.25,25378.8,25351.95,25356.9,25362.55,25408.08,-1,25342.95,1,25382.91,25374.58,48.45,58.28
2024-09-16 12:00:00+05:30,25356.9,25366.6,25345.6,25353.25,25355.15,25397.68,-1,25342.95,1,25377.36,25372.81,47.47,56.84
2024-09-16 12:15:00+05:30,25353.15,25366.1,25336.2,25363.75,25355.35,25393.06,-1,25342.95,1,25372.96,25371.23,50.56,56.0
2024-09-16 12:30:00+05:30,25363.55,25376.65,25353.9,25374.05,25368.2,25393.06,-1,25342.95,1,25372.01,25370.95,53.45,55.66
2024-09-16 12:45:00+05:30,25374.1,25381.6,25365.75,25369.3,25372.22,25393.06,-1,25342.95,1,25372.05,25371.07,51.94,55.16
2024-09-16 13:00:00+05:30,25369.45,25379.9,25365.65,25374.5,25373.35,25393.06,-1,25342.95,1,25372.31,25371.27,53.49,54.94
2024-09-16 13:15:00+05:30,25374.6,25400.5,25372.35,25397.95,25390.27,25348.37,1,25342.95,1,25375.9,25373.0,59.77,55.59
2024-09-16 13:30:00+05:30,25399.1,25413.0,25392.85,25411.95,25405.93,25365.66,1,25342.95,1,25381.91,25376.0,62.99,56.57
2024-09-16 13:45:00+05:30,25412.9,25422.4,25403.05,25404.95,25410.13,25376.28,1,25351.98,1,25387.55,25379.1,60.39,57.08
2024-09-16 14:00:00+05:30,25404.65,25410.7,25392.85,25405.1,25402.88,25376.28,1,25351.98,1,25390.62,25381.26,60.43,57.53
2024-09-16 14:15:00+05:30,25405.35,25406.85,25379.3,25395.1,25393.75,25376.28,1,25351.98,1,25391.24,25382.4,56.56,57.4
2024-09-16 14:30:00+05:30,25394.8,25405.1,25387.95,25389.7,25394.25,25376.28,1,25351.98,1,25391.85,25383.47,54.53,57.02
2024-09-16 14:45:00+05:30,25388.8,25397.9,25386.85,25391.45,25392.07,25376.28,1,25351.98,1,25391.89,25384.25,55.1,56.76
2024-09-16 15:00:00+05:30,25389.75,25397.7,25384.95,25386.4,25389.68,25376.28,1,25351.98,1,25391.45,25384.75,53.06,56.27
2024-09-16 15:15:00+05:30,25386.45,25390.3,25375.5,25377.2,25381.0,25376.28,1,25351.98,1,25389.36,25384.41,49.47,55.36
2024-09-17 09:15:00+05:30,25416.9,25416.9,25356.85,25378.9,25384.22,25376.28,1,25351.98,1,25388.33,25384.39,50.14,54.67
2024-09-17 09:30:00+05:30,25378.4,25401.6,25372.85,25389.95,25388.13,25376.28,1,25351.98,1,25388.29,25384.73,54.38,54.63
2024-09-17 09:45:00+05:30,25390.25,25397.25,25352.25,25363.9,25371.13,25415.15,-1,25351.98,1,25384.86,25383.49,44.72,53.31
2024-09-17 10:00:00+05:30,25364.15,25384.35,25355.5,25373.9,25371.25,25410.61,-1,25351.98,1,25382.14,25382.38,48.5,52.67
2024-09-17 10:15:00+05:30,25374.8,25383.9,25368.1,25381.2,25377.73,25410.61,-1,25351.98,1,25381.26,25381.96,51.13,52.46
2024-09-17 10:30:00+05:30,25381.05,25409.5,25376.5,25402.85,25396.28,25410.61,-1,25351.98,1,25384.26,25383.26,57.98,53.2
2024-09-17 10:45:00+05:30,25401.95,25414.7,25390.6,25409.35,25404.88,25410.61,-1,25351.98,1,25388.38,25385.23,59.8,54.08
2024-09-17 11:00:00+05:30,25408.85,25415.85,25392.35,25401.4,25403.2,25410.61,-1,25351.98,1,25391.35,25386.86,56.57,54.41
2024-09-17 11:15:00+05:30,25405.7,25432.7,25399.2,25418.05,25416.65,25375.64,1,25351.98,1,25396.41,25389.57,61.29,55.33
2024-09-17 11:30:00+05:30,25417.65,25420.35,25404.85,25407.45,25410.88,25375.64,1,25351.98,1,25399.3,25391.51,57.04,55.56
2024-09-17 11:45:00+05:30,25407.0,25422.1,25405.6,25421.9,25416.53,25376.63,1,25351.98,1,25402.75,25393.78,61.01,56.28
2024-09-17 12:00:00+05:30,25421.75,25423.6,25409.95,25412.55,25415.37,25381.23,1,25357.53,1,25405.27,25395.74,57.32,56.42
2024-09-17 12:15:00+05:30,25411.85,25419.45,25404.05,25417.35,25413.62,25381.23,1,25357.53,1,25406.94,25397.37,58.7,56.72
2024-09-17 12:30:00+05:30,25416.4,25428.9,25416.05,25427.1,25424.02,25389.68,1,25367.81,1,25410.36,25399.79,61.43,57.35
2024-09-17 12:45:00+05:30,25426.8,25436.85,25422.4,25426.4,25428.55,25397.94,1,25376.82,1,25414.0,25402.41,61.12,57.85
2024-09-17 13:00:00+05:30,25426.35,25431.35,25421.1,25425.7,25426.05,25397.94,1,25376.82,1,25416.41,25404.55,60.78,58.24
